"EmployeeID","MonthlyIncome","JobRole","TotalWorkingYears","Gender","Age","Education Level"
"8410","5390","Education","19","Male","31","Associate Degree"
"64756","5534","Media","4","Female","59","Master’s Degree"
"30257","8159","Healthcare","10","Female","24","Bachelor’s Degree"
"65791","3989","Education","7","Female","36","High School"
"65026","4821","Education","41","Male","56","High School"
"24368","9977","Technology","3","Female","38","Bachelor’s Degree"
"64970","3681","Education","23","Male","47","High School"
"36999","11223","Finance","16","Male","48","Master’s Degree"
"32714","3773","Education","44","Male","57","High School"
"15944","7319","Healthcare","1","Female","24","PhD"
"29972","5443","Education","12","Female","30","High School"
"9063","8950","Healthcare","6","Female","29","Master’s Degree"
"21896","9039","Technology","38","Female","47","Associate Degree"
"28098","8090","Healthcare","22","Male","31","Associate Degree"
"22068","6350","Technology","30","Female","40","High School"
"17696","5176","Finance","4","Female","40","High School"
"55668","8242","Technology","9","Female","19","High School"
"19288","8733","Finance","1","Female","33","High School"
"17034","6252","Media","37","Female","49","Bachelor’s Degree"
"9697","7538","Healthcare","9","Male","29","Bachelor’s Degree"
"17209","8733","Finance","41","Female","51","Master’s Degree"
"45399","8201","Healthcare","33","Female","57","PhD"
"58984","8079","Finance","1","Female","39","Master’s Degree"
"24208","5874","Media","13","Male","36","High School"
"14291","4656","Education","5","Male","54","High School"
"20748","4987","Education","9","Male","48","Associate Degree"
"13394","12507","Technology","13","Male","23","High School"
"65251","7571","Healthcare","21","Female","45","Associate Degree"
"6885","3535","Education","32","Male","48","Bachelor’s Degree"
"68576","8330","Finance","34","Female","45","Bachelor’s Degree"
"69149","6334","Healthcare","11","Male","24","Bachelor’s Degree"
"61864","8874","Technology","1","Male","42","Associate Degree"
"29641","7364","Healthcare","44","Male","53","Associate Degree"
"65586","5556","Finance","22","Male","39","Associate Degree"
"15737","9293","Technology","2","Male","37","Bachelor’s Degree"
"51448","7701","Finance","6","Male","37","High School"
"12259","5105","Media","18","Male","31","Bachelor’s Degree"
"8881","8632","Healthcare","9","Male","37","Master’s Degree"
"17543","5315","Media","27","Female","45","Associate Degree"
"74472","5938","Media","23","Female","57","Master’s Degree"
"64075","6213","Media","2","Female","42","Bachelor’s Degree"
"54804","5956","Media","17","Female","31","Bachelor’s Degree"
"24350","6605","Media","22","Female","56","Bachelor’s Degree"
"72189","8274","Finance","12","Male","34","Bachelor’s Degree"
"36437","9878","Technology","7","Male","56","Master’s Degree"
"34857","8442","Technology","36","Female","47","Associate Degree"
