EmployeeID,MonthlyIncome,JobRole,TotalWorkingYears,Gender,Age,Education Level,AgeGroup,ExpGroup,Cluster
65026,4821,Education,41,Male,56,High School,High,High,High_High
64970,3681,Education,23,Male,47,High School,High,High,High_High
36999,11223,Finance,16,Male,48,Master’s Degree,High,High,High_High
32714,3773,Education,44,Male,57,High School,High,High,High_High
21896,9039,Technology,38,Female,47,Associate Degree,High,High,High_High
22068,6350,Technology,30,Female,40,High School,High,High,High_High
17034,6252,Media,37,Female,49,Bachelor’s Degree,High,High,High_High
17209,8733,Finance,41,Female,51,Master’s Degree,High,High,High_High
45399,8201,Healthcare,33,Female,57,PhD,High,High,High_High
65251,7571,Healthcare,21,Female,45,Associate Degree,High,High,High_High
6885,3535,Education,32,Male,48,Bachelor’s Degree,High,High,High_High
68576,8330,Finance,34,Female,45,Bachelor’s Degree,High,High,High_High
29641,7364,Healthcare,44,Male,53,Associate Degree,High,High,High_High
65586,5556,Finance,22,Male,39,Associate Degree,High,High,High_High
17543,5315,Media,27,Female,45,Associate Degree,High,High,High_High
74472,5938,Media,23,Female,57,Master’s Degree,High,High,High_High
24350,6605,Media,22,Female,56,Bachelor’s Degree,High,High,High_High
34857,8442,Technology,36,Female,47,Associate Degree,High,High,High_High
63046,5586,Media,28,Male,41,Associate Degree,High,High,High_High
5254,7976,Technology,18,Female,48,High School,High,High,High_High
18361,5040,Education,22,Male,47,High School,High,High,High_High
27451,5154,Media,34,Male,52,High School,High,High,High_High
58305,8407,Healthcare,16,Male,51,Bachelor’s Degree,High,High,High_High
19684,4195,Education,21,Male,50,Bachelor’s Degree,High,High,High_High
70231,7303,Finance,35,Male,50,High School,High,High,High_High
12556,8631,Healthcare,24,Male,47,Bachelor’s Degree,High,High,High_High
67257,8876,Healthcare,23,Female,53,High School,High,High,High_High
52985,6628,Media,28,Female,45,Bachelor’s Degree,High,High,High_High
7424,8683,Technology,14,Male,58,Bachelor’s Degree,High,High,High_High
6688,9737,Technology,24,Male,54,Bachelor’s Degree,High,High,High_High
46550,9033,Technology,34,Male,43,High School,High,High,High_High
13319,7063,Healthcare,28,Male,47,Associate Degree,High,High,High_High
65739,6940,Media,40,Female,58,Bachelor’s Degree,High,High,High_High
43732,4733,Education,17,Male,40,PhD,High,High,High_High
23371,12041,Finance,22,Female,49,PhD,High,High,High_High
17004,7529,Healthcare,15,Male,52,Bachelor’s Degree,High,High,High_High
52881,9626,Technology,13,Male,55,Bachelor’s Degree,High,High,High_High
29475,9501,Technology,14,Female,58,Bachelor’s Degree,High,High,High_High
34465,4023,Education,22,Female,40,Master’s Degree,High,High,High_High
21012,8332,Finance,41,Male,53,Master’s Degree,High,High,High_High
71441,6690,Healthcare,32,Male,56,High School,High,High,High_High
29637,9177,Healthcare,40,Male,55,Associate Degree,High,High,High_High
38110,8761,Technology,19,Female,48,High School,High,High,High_High
70639,5428,Media,24,Male,47,Associate Degree,High,High,High_High
575,7430,Healthcare,13,Male,44,Associate Degree,High,High,High_High
24980,4583,Finance,24,Female,45,Associate Degree,High,High,High_High
4856,10166,Technology,30,Female,59,Associate Degree,High,High,High_High
14265,5316,Media,35,Male,50,Bachelor’s Degree,High,High,High_High
370,10030,Technology,45,Male,59,High School,High,High,High_High
53105,6929,Healthcare,39,Female,58,Associate Degree,High,High,High_High
63135,9063,Healthcare,16,Male,51,Associate Degree,High,High,High_High
65852,8926,Healthcare,20,Female,45,High School,High,High,High_High
27498,4862,Education,43,Male,59,Associate Degree,High,High,High_High
38163,11735,Finance,29,Female,40,Associate Degree,High,High,High_High
43292,7359,Technology,18,Male,50,Associate Degree,High,High,High_High
72087,7838,Healthcare,35,Male,44,Associate Degree,High,High,High_High
70389,8423,Healthcare,46,Female,56,Master’s Degree,High,High,High_High
36546,3625,Education,19,Male,52,High School,High,High,High_High
12809,8048,Finance,36,Male,44,High School,High,High,High_High
46298,4205,Education,26,Male,42,Master’s Degree,High,High,High_High
37508,4373,Education,41,Male,53,Master’s Degree,High,High,High_High
43465,8299,Healthcare,38,Male,50,Bachelor’s Degree,High,High,High_High
36678,11556,Technology,40,Female,56,PhD,High,High,High_High
20960,6467,Healthcare,13,Female,47,Bachelor’s Degree,High,High,High_High
6112,7647,Technology,33,Female,51,High School,High,High,High_High
40908,7440,Healthcare,43,Female,55,High School,High,High,High_High
53019,8883,Healthcare,38,Male,56,Master’s Degree,High,High,High_High
58518,7306,Technology,26,Male,52,High School,High,High,High_High
62060,10006,Finance,42,Male,54,Master’s Degree,High,High,High_High
8386,5405,Media,22,Male,51,Master’s Degree,High,High,High_High
45849,4113,Education,32,Male,59,Master’s Degree,High,High,High_High
61853,6008,Media,38,Male,47,High School,High,High,High_High
29497,5980,Media,27,Female,40,PhD,High,High,High_High
65915,6243,Media,29,Female,41,Bachelor’s Degree,High,High,High_High
48390,8988,Technology,16,Female,51,High School,High,High,High_High
35432,6555,Finance,14,Female,46,Master’s Degree,High,High,High_High
59888,7633,Technology,23,Male,53,Bachelor’s Degree,High,High,High_High
32936,4724,Education,26,Male,41,Bachelor’s Degree,High,High,High_High
13298,6139,Media,19,Male,52,Master’s Degree,High,High,High_High
21924,6977,Technology,17,Male,46,Associate Degree,High,High,High_High
2631,8328,Healthcare,40,Male,59,Associate Degree,High,High,High_High
26369,8331,Healthcare,44,Female,58,Associate Degree,High,High,High_High
9740,7639,Technology,42,Male,50,High School,High,High,High_High
63053,11164,Technology,31,Female,48,High School,High,High,High_High
10997,8580,Technology,18,Male,57,Bachelor’s Degree,High,High,High_High
48313,8113,Healthcare,30,Male,50,High School,High,High,High_High
33249,9128,Technology,16,Female,47,PhD,High,High,High_High
32739,7345,Healthcare,28,Male,51,High School,High,High,High_High
72993,10286,Technology,34,Male,44,High School,High,High,High_High
56207,8549,Technology,41,Female,49,Bachelor’s Degree,High,High,High_High
61041,7838,Finance,21,Male,41,Associate Degree,High,High,High_High
11070,4911,Education,36,Male,50,Bachelor’s Degree,High,High,High_High
73725,9533,Technology,40,Female,48,PhD,High,High,High_High
41895,6837,Technology,15,Female,48,Bachelor’s Degree,High,High,High_High
21808,6033,Media,31,Male,44,Associate Degree,High,High,High_High
