EmployeeID,MonthlyIncome,JobRole,TotalWorkingYears,Gender,Age,Education Level,AgeGroup,ExpGroup,Cluster
21896,9039,Technology,38,Female,47,Associate Degree,High,High,High_High
22068,6350,Technology,30,Female,40,High School,High,High,High_High
17034,6252,Media,37,Female,49,Bachelor’s Degree,High,High,High_High
17209,8733,Finance,41,Female,51,Master’s Degree,High,High,High_High
45399,8201,Healthcare,33,Female,57,PhD,High,High,High_High
65251,7571,Healthcare,21,Female,45,Associate Degree,High,High,High_High
68576,8330,Finance,34,Female,45,Bachelor’s Degree,High,High,High_High
17543,5315,Media,27,Female,45,Associate Degree,High,High,High_High
74472,5938,Media,23,Female,57,Master’s Degree,High,High,High_High
24350,6605,Media,22,Female,56,Bachelor’s Degree,High,High,High_High
34857,8442,Technology,36,Female,47,Associate Degree,High,High,High_High
5254,7976,Technology,18,Female,48,High School,High,High,High_High
67257,8876,Healthcare,23,Female,53,High School,High,High,High_High
52985,6628,Media,28,Female,45,Bachelor’s Degree,High,High,High_High
65739,6940,Media,40,Female,58,Bachelor’s Degree,High,High,High_High
23371,12041,Finance,22,Female,49,PhD,High,High,High_High
29475,9501,Technology,14,Female,58,Bachelor’s Degree,High,High,High_High
34465,4023,Education,22,Female,40,Master’s Degree,High,High,High_High
38110,8761,Technology,19,Female,48,High School,High,High,High_High
24980,4583,Finance,24,Female,45,Associate Degree,High,High,High_High
4856,10166,Technology,30,Female,59,Associate Degree,High,High,High_High
53105,6929,Healthcare,39,Female,58,Associate Degree,High,High,High_High
65852,8926,Healthcare,20,Female,45,High School,High,High,High_High
38163,11735,Finance,29,Female,40,Associate Degree,High,High,High_High
70389,8423,Healthcare,46,Female,56,Master’s Degree,High,High,High_High
36678,11556,Technology,40,Female,56,PhD,High,High,High_High
20960,6467,Healthcare,13,Female,47,Bachelor’s Degree,High,High,High_High
6112,7647,Technology,33,Female,51,High School,High,High,High_High
40908,7440,Healthcare,43,Female,55,High School,High,High,High_High
29497,5980,Media,27,Female,40,PhD,High,High,High_High
65915,6243,Media,29,Female,41,Bachelor’s Degree,High,High,High_High
48390,8988,Technology,16,Female,51,High School,High,High,High_High
35432,6555,Finance,14,Female,46,Master’s Degree,High,High,High_High
26369,8331,Healthcare,44,Female,58,Associate Degree,High,High,High_High
63053,11164,Technology,31,Female,48,High School,High,High,High_High
33249,9128,Technology,16,Female,47,PhD,High,High,High_High
56207,8549,Technology,41,Female,49,Bachelor’s Degree,High,High,High_High
73725,9533,Technology,40,Female,48,PhD,High,High,High_High
41895,6837,Technology,15,Female,48,Bachelor’s Degree,High,High,High_High
8762,8127,Finance,45,Female,59,Associate Degree,High,High,High_High
66517,4952,Education,17,Female,58,Bachelor’s Degree,High,High,High_High
10370,6063,Healthcare,33,Female,45,Bachelor’s Degree,High,High,High_High
54830,6952,Finance,23,Female,43,High School,High,High,High_High
16312,5795,Education,14,Female,57,Associate Degree,High,High,High_High
2874,7140,Technology,36,Female,44,Bachelor’s Degree,High,High,High_High
32803,6877,Healthcare,41,Female,54,High School,High,High,High_High
45188,8762,Technology,18,Female,48,Bachelor’s Degree,High,High,High_High
22927,4453,Education,29,Female,49,Associate Degree,High,High,High_High
66282,4628,Education,34,Female,46,Master’s Degree,High,High,High_High
37299,10508,Technology,33,Female,50,Bachelor’s Degree,High,High,High_High
57636,8077,Healthcare,18,Female,44,Bachelor’s Degree,High,High,High_High
40379,8537,Healthcare,35,Female,48,Master’s Degree,High,High,High_High
3983,8848,Finance,20,Female,43,Master’s Degree,High,High,High_High
58435,10568,Healthcare,29,Female,42,Master’s Degree,High,High,High_High
46795,6507,Finance,17,Female,52,Associate Degree,High,High,High_High
32775,4113,Education,36,Female,59,High School,High,High,High_High
19737,9203,Technology,22,Female,40,Master’s Degree,High,High,High_High
71715,4968,Media,31,Female,56,Bachelor’s Degree,High,High,High_High
4208,8475,Healthcare,24,Female,50,Master’s Degree,High,High,High_High
4912,8591,Finance,17,Female,57,PhD,High,High,High_High
52015,4806,Education,23,Female,50,High School,High,High,High_High
71157,7447,Finance,24,Female,48,Bachelor’s Degree,High,High,High_High
67517,9327,Healthcare,14,Female,52,Associate Degree,High,High,High_High
2745,8460,Technology,48,Female,58,High School,High,High,High_High
55314,7995,Healthcare,34,Female,50,Bachelor’s Degree,High,High,High_High
22612,7841,Technology,21,Female,45,Associate Degree,High,High,High_High
45111,6670,Technology,34,Female,52,Associate Degree,High,High,High_High
46131,5852,Media,29,Female,46,Master’s Degree,High,High,High_High
13381,6497,Healthcare,27,Female,46,Associate Degree,High,High,High_High
57511,4615,Education,20,Female,48,Master’s Degree,High,High,High_High
44504,7034,Healthcare,40,Female,55,Bachelor’s Degree,High,High,High_High
71276,6168,Media,18,Female,45,High School,High,High,High_High
55541,6314,Media,35,Female,55,Bachelor’s Degree,High,High,High_High
20021,9562,Technology,31,Female,46,Associate Degree,High,High,High_High
35545,4453,Education,29,Female,55,High School,High,High,High_High
29402,4725,Education,29,Female,40,Bachelor’s Degree,High,High,High_High
46548,5125,Media,32,Female,49,Master’s Degree,High,High,High_High
70360,5921,Finance,16,Female,41,Associate Degree,High,High,High_High
25764,4174,Education,20,Female,40,High School,High,High,High_High
31825,9951,Finance,16,Female,51,PhD,High,High,High_High
10856,8700,Healthcare,43,Female,59,Bachelor’s Degree,High,High,High_High
9852,3675,Education,32,Female,59,Master’s Degree,High,High,High_High
66825,7583,Healthcare,21,Female,50,Bachelor’s Degree,High,High,High_High
8520,10574,Technology,38,Female,55,Bachelor’s Degree,High,High,High_High
42948,7630,Healthcare,32,Female,46,Master’s Degree,High,High,High_High
12543,6525,Healthcare,24,Female,44,High School,High,High,High_High
66832,9746,Finance,34,Female,51,Master’s Degree,High,High,High_High
17535,3889,Education,32,Female,57,High School,High,High,High_High
39252,4492,Finance,43,Female,57,PhD,High,High,High_High
60738,5803,Education,27,Female,58,Associate Degree,High,High,High_High
13890,5992,Media,24,Female,48,Bachelor’s Degree,High,High,High_High
71779,10194,Healthcare,25,Female,39,Associate Degree,High,High,High_High
52211,10694,Technology,27,Female,48,Associate Degree,High,High,High_High
25462,5869,Media,39,Female,56,Bachelor’s Degree,High,High,High_High
19261,3913,Education,32,Female,46,Bachelor’s Degree,High,High,High_High
63637,4097,Education,13,Female,50,PhD,High,High,High_High
50335,5236,Education,49,Female,57,Associate Degree,High,High,High_High
34810,6036,Media,37,Female,48,Master’s Degree,High,High,High_High
36592,6977,Healthcare,31,Female,53,Associate Degree,High,High,High_High
8074,7129,Technology,17,Female,47,Master’s Degree,High,High,High_High
67764,10406,Technology,25,Female,54,PhD,High,High,High_High
67313,5879,Education,17,Female,50,High School,High,High,High_High
18121,7081,Healthcare,14,Female,52,Bachelor’s Degree,High,High,High_High
23716,9166,Technology,23,Female,48,Associate Degree,High,High,High_High
67688,9075,Technology,19,Female,42,Bachelor’s Degree,High,High,High_High
48579,5411,Media,26,Female,41,Associate Degree,High,High,High_High
26084,8772,Healthcare,31,Female,52,Bachelor’s Degree,High,High,High_High
12477,9144,Healthcare,32,Female,53,High School,High,High,High_High
12174,9454,Technology,35,Female,53,Bachelor’s Degree,High,High,High_High
20414,5078,Finance,22,Female,59,Bachelor’s Degree,High,High,High_High
25573,6609,Media,22,Female,57,Master’s Degree,High,High,High_High
69678,10126,Technology,25,Female,58,High School,High,High,High_High
74096,5580,Media,15,Female,48,High School,High,High,High_High
54462,7418,Healthcare,43,Female,56,Master’s Degree,High,High,High_High
53632,6473,Media,34,Female,59,Associate Degree,High,High,High_High
49218,5628,Healthcare,15,Female,53,High School,High,High,High_High
35276,5901,Technology,15,Female,43,Bachelor’s Degree,High,High,High_High
18148,9359,Technology,20,Female,46,Bachelor’s Degree,High,High,High_High
10309,6552,Finance,34,Female,48,PhD,High,High,High_High
13506,5869,Technology,44,Female,57,Associate Degree,High,High,High_High
49722,7692,Technology,22,Female,48,Master’s Degree,High,High,High_High
17321,7972,Technology,13,Female,47,PhD,High,High,High_High
57029,9354,Healthcare,36,Female,52,Master’s Degree,High,High,High_High
39680,11323,Technology,17,Female,43,Associate Degree,High,High,High_High
32930,6854,Finance,16,Female,59,Bachelor’s Degree,High,High,High_High
34173,7107,Technology,28,Female,57,Associate Degree,High,High,High_High
68073,6545,Media,43,Female,58,Bachelor’s Degree,High,High,High_High
16173,10389,Technology,23,Female,46,PhD,High,High,High_High
430,6433,Healthcare,14,Female,47,Associate Degree,High,High,High_High
8228,4263,Education,30,Female,39,Master’s Degree,High,High,High_High
19816,10845,Technology,44,Female,56,Bachelor’s Degree,High,High,High_High
40506,8978,Technology,32,Female,42,Master’s Degree,High,High,High_High
69477,9507,Technology,15,Female,41,Bachelor’s Degree,High,High,High_High
4812,4604,Education,15,Female,45,Bachelor’s Degree,High,High,High_High
7887,9837,Healthcare,30,Female,40,High School,High,High,High_High
42953,9408,Healthcare,20,Female,46,Master’s Degree,High,High,High_High
42065,5097,Media,24,Female,50,Associate Degree,High,High,High_High
16035,7731,Technology,29,Female,46,Associate Degree,High,High,High_High
23347,4424,Education,32,Female,50,Bachelor’s Degree,High,High,High_High
56372,5988,Media,14,Female,49,Bachelor’s Degree,High,High,High_High
1069,8673,Healthcare,33,Female,44,Bachelor’s Degree,High,High,High_High
44279,3118,Education,33,Female,44,Associate Degree,High,High,High_High
69367,9247,Technology,35,Female,48,PhD,High,High,High_High
31589,4083,Education,20,Female,52,Associate Degree,High,High,High_High
61970,7215,Healthcare,22,Female,46,High School,High,High,High_High
32233,7135,Finance,19,Female,41,PhD,High,High,High_High
16842,7859,Healthcare,21,Female,44,High School,High,High,High_High
27295,9352,Technology,15,Female,47,Bachelor’s Degree,High,High,High_High
40870,9026,Finance,20,Female,45,PhD,High,High,High_High
6779,10256,Technology,25,Female,58,Master’s Degree,High,High,High_High
33637,9390,Technology,21,Female,57,Associate Degree,High,High,High_High
15220,9991,Technology,16,Female,47,Bachelor’s Degree,High,High,High_High
49518,5218,Finance,16,Female,48,Associate Degree,High,High,High_High
36094,5827,Media,17,Female,41,Bachelor’s Degree,High,High,High_High
60098,5871,Finance,31,Female,40,Master’s Degree,High,High,High_High
34110,3557,Education,42,Female,51,Master’s Degree,High,High,High_High
53278,8567,Technology,23,Female,54,Associate Degree,High,High,High_High
2504,7940,Healthcare,19,Female,59,Bachelor’s Degree,High,High,High_High
27952,4926,Education,15,Female,53,Associate Degree,High,High,High_High
64226,9263,Technology,28,Female,44,Associate Degree,High,High,High_High
55939,10916,Technology,22,Female,47,High School,High,High,High_High
21969,8384,Healthcare,28,Female,39,Bachelor’s Degree,High,High,High_High
37151,5590,Media,26,Female,55,Associate Degree,High,High,High_High
73184,6109,Media,32,Female,51,Bachelor’s Degree,High,High,High_High
18642,5066,Education,35,Female,59,Bachelor’s Degree,High,High,High_High
23862,4546,Education,29,Female,45,Master’s Degree,High,High,High_High
46586,6084,Healthcare,27,Female,43,Bachelor’s Degree,High,High,High_High
67732,9699,Technology,20,Female,58,Bachelor’s Degree,High,High,High_High
10044,7355,Healthcare,18,Female,47,Associate Degree,High,High,High_High
24581,9877,Technology,17,Female,39,Bachelor’s Degree,High,High,High_High
13662,8821,Finance,30,Female,56,Bachelor’s Degree,High,High,High_High
43803,9200,Healthcare,27,Female,45,Bachelor’s Degree,High,High,High_High
58373,12036,Technology,34,Female,58,High School,High,High,High_High
50287,7651,Healthcare,16,Female,40,PhD,High,High,High_High
9044,8871,Technology,29,Female,59,Master’s Degree,High,High,High_High
12372,10370,Finance,33,Female,44,Master’s Degree,High,High,High_High
13877,3583,Education,36,Female,45,High School,High,High,High_High
27628,9565,Technology,32,Female,42,Master’s Degree,High,High,High_High
24544,6153,Media,46,Female,58,High School,High,High,High_High
43948,8510,Healthcare,26,Female,43,Associate Degree,High,High,High_High
27249,8117,Healthcare,37,Female,58,High School,High,High,High_High
62698,4576,Education,26,Female,55,PhD,High,High,High_High
20669,5735,Finance,30,Female,39,Associate Degree,High,High,High_High
47891,7925,Healthcare,19,Female,54,Master’s Degree,High,High,High_High
63266,6310,Media,34,Female,42,Associate Degree,High,High,High_High
48795,7079,Healthcare,23,Female,45,Associate Degree,High,High,High_High
33924,8725,Finance,40,Female,49,Associate Degree,High,High,High_High
52536,9860,Finance,34,Female,56,Master’s Degree,High,High,High_High
16023,4945,Education,33,Female,42,Bachelor’s Degree,High,High,High_High
37367,6002,Media,20,Female,59,Associate Degree,High,High,High_High
12297,9286,Technology,13,Female,44,High School,High,High,High_High
24590,8420,Technology,19,Female,42,Master’s Degree,High,High,High_High
71587,7957,Finance,23,Female,54,Bachelor’s Degree,High,High,High_High
