EmployeeID,MonthlyIncome,JobRole,TotalWorkingYears,Gender,Age,Education Level,AgeGroup,ExpGroup,Cluster
65026,4821,Education,41,Male,56,High School,High,High,High_High
64970,3681,Education,23,Male,47,High School,High,High,High_High
36999,11223,Finance,16,Male,48,Master’s Degree,High,High,High_High
32714,3773,Education,44,Male,57,High School,High,High,High_High
6885,3535,Education,32,Male,48,Bachelor’s Degree,High,High,High_High
29641,7364,Healthcare,44,Male,53,Associate Degree,High,High,High_High
65586,5556,Finance,22,Male,39,Associate Degree,High,High,High_High
63046,5586,Media,28,Male,41,Associate Degree,High,High,High_High
18361,5040,Education,22,Male,47,High School,High,High,High_High
27451,5154,Media,34,Male,52,High School,High,High,High_High
58305,8407,Healthcare,16,Male,51,Bachelor’s Degree,High,High,High_High
19684,4195,Education,21,Male,50,Bachelor’s Degree,High,High,High_High
70231,7303,Finance,35,Male,50,High School,High,High,High_High
12556,8631,Healthcare,24,Male,47,Bachelor’s Degree,High,High,High_High
7424,8683,Technology,14,Male,58,Bachelor’s Degree,High,High,High_High
6688,9737,Technology,24,Male,54,Bachelor’s Degree,High,High,High_High
46550,9033,Technology,34,Male,43,High School,High,High,High_High
13319,7063,Healthcare,28,Male,47,Associate Degree,High,High,High_High
43732,4733,Education,17,Male,40,PhD,High,High,High_High
17004,7529,Healthcare,15,Male,52,Bachelor’s Degree,High,High,High_High
52881,9626,Technology,13,Male,55,Bachelor’s Degree,High,High,High_High
21012,8332,Finance,41,Male,53,Master’s Degree,High,High,High_High
71441,6690,Healthcare,32,Male,56,High School,High,High,High_High
29637,9177,Healthcare,40,Male,55,Associate Degree,High,High,High_High
70639,5428,Media,24,Male,47,Associate Degree,High,High,High_High
575,7430,Healthcare,13,Male,44,Associate Degree,High,High,High_High
14265,5316,Media,35,Male,50,Bachelor’s Degree,High,High,High_High
370,10030,Technology,45,Male,59,High School,High,High,High_High
63135,9063,Healthcare,16,Male,51,Associate Degree,High,High,High_High
27498,4862,Education,43,Male,59,Associate Degree,High,High,High_High
43292,7359,Technology,18,Male,50,Associate Degree,High,High,High_High
72087,7838,Healthcare,35,Male,44,Associate Degree,High,High,High_High
36546,3625,Education,19,Male,52,High School,High,High,High_High
12809,8048,Finance,36,Male,44,High School,High,High,High_High
46298,4205,Education,26,Male,42,Master’s Degree,High,High,High_High
37508,4373,Education,41,Male,53,Master’s Degree,High,High,High_High
43465,8299,Healthcare,38,Male,50,Bachelor’s Degree,High,High,High_High
53019,8883,Healthcare,38,Male,56,Master’s Degree,High,High,High_High
58518,7306,Technology,26,Male,52,High School,High,High,High_High
62060,10006,Finance,42,Male,54,Master’s Degree,High,High,High_High
8386,5405,Media,22,Male,51,Master’s Degree,High,High,High_High
45849,4113,Education,32,Male,59,Master’s Degree,High,High,High_High
61853,6008,Media,38,Male,47,High School,High,High,High_High
59888,7633,Technology,23,Male,53,Bachelor’s Degree,High,High,High_High
32936,4724,Education,26,Male,41,Bachelor’s Degree,High,High,High_High
13298,6139,Media,19,Male,52,Master’s Degree,High,High,High_High
21924,6977,Technology,17,Male,46,Associate Degree,High,High,High_High
2631,8328,Healthcare,40,Male,59,Associate Degree,High,High,High_High
9740,7639,Technology,42,Male,50,High School,High,High,High_High
10997,8580,Technology,18,Male,57,Bachelor’s Degree,High,High,High_High
48313,8113,Healthcare,30,Male,50,High School,High,High,High_High
32739,7345,Healthcare,28,Male,51,High School,High,High,High_High
72993,10286,Technology,34,Male,44,High School,High,High,High_High
61041,7838,Finance,21,Male,41,Associate Degree,High,High,High_High
11070,4911,Education,36,Male,50,Bachelor’s Degree,High,High,High_High
21808,6033,Media,31,Male,44,Associate Degree,High,High,High_High
31692,3536,Education,27,Male,43,Associate Degree,High,High,High_High
2806,4831,Education,33,Male,55,High School,High,High,High_High
37357,5520,Education,30,Male,59,Bachelor’s Degree,High,High,High_High
66253,8976,Healthcare,13,Male,39,Master’s Degree,High,High,High_High
533,4592,Education,29,Male,40,Master’s Degree,High,High,High_High
65545,7730,Healthcare,15,Male,45,Master’s Degree,High,High,High_High
69251,10994,Technology,20,Male,43,PhD,High,High,High_High
40568,3043,Education,40,Male,50,Bachelor’s Degree,High,High,High_High
18339,9495,Technology,14,Male,50,Associate Degree,High,High,High_High
67873,7600,Healthcare,39,Male,50,Bachelor’s Degree,High,High,High_High
34195,8392,Healthcare,16,Male,59,Master’s Degree,High,High,High_High
41286,6369,Media,18,Male,40,Associate Degree,High,High,High_High
38941,8673,Technology,34,Male,55,Bachelor’s Degree,High,High,High_High
55211,9191,Technology,47,Male,57,Associate Degree,High,High,High_High
37898,7244,Healthcare,38,Male,46,PhD,High,High,High_High
37402,4968,Media,31,Male,45,High School,High,High,High_High
58293,6468,Healthcare,29,Male,46,High School,High,High,High_High
50515,5154,Education,15,Male,59,PhD,High,High,High_High
74238,9436,Healthcare,33,Male,45,Bachelor’s Degree,High,High,High_High
11681,5890,Media,26,Male,42,Bachelor’s Degree,High,High,High_High
5107,7557,Healthcare,19,Male,47,Master’s Degree,High,High,High_High
48442,7852,Healthcare,17,Male,44,Associate Degree,High,High,High_High
50134,9487,Healthcare,30,Male,42,Bachelor’s Degree,High,High,High_High
4388,4918,Education,15,Male,53,Associate Degree,High,High,High_High
8417,7175,Healthcare,13,Male,48,Associate Degree,High,High,High_High
37679,7340,Healthcare,30,Male,51,Bachelor’s Degree,High,High,High_High
17438,8743,Technology,42,Male,52,Master’s Degree,High,High,High_High
34421,6831,Healthcare,37,Male,57,High School,High,High,High_High
52120,5721,Education,28,Male,53,PhD,High,High,High_High
49049,3828,Education,14,Male,49,Associate Degree,High,High,High_High
34591,8455,Technology,38,Male,57,PhD,High,High,High_High
44870,7194,Technology,39,Male,49,Bachelor’s Degree,High,High,High_High
44795,9512,Technology,15,Male,53,Associate Degree,High,High,High_High
38308,5673,Media,25,Male,47,Master’s Degree,High,High,High_High
21617,6061,Finance,16,Male,42,High School,High,High,High_High
39832,4506,Education,27,Male,51,Bachelor’s Degree,High,High,High_High
51893,8157,Finance,39,Male,53,Associate Degree,High,High,High_High
59180,5686,Media,14,Male,56,High School,High,High,High_High
