EmployeeID,MonthlyIncome,JobRole,TotalWorkingYears,Gender,Age,Education Level,AgeGroup,ExpGroup,Cluster
64756,5534,Media,4,Female,59,Master’s Degree,High,Low,High_Low
17696,5176,Finance,4,Female,40,High School,High,Low,High_Low
58984,8079,Finance,1,Female,39,Master’s Degree,High,Low,High_Low
14291,4656,Education,5,Male,54,High School,High,Low,High_Low
20748,4987,Education,9,Male,48,Associate Degree,High,Low,High_Low
61864,8874,Technology,1,Male,42,Associate Degree,High,Low,High_Low
64075,6213,Media,2,Female,42,Bachelor’s Degree,High,Low,High_Low
36437,9878,Technology,7,Male,56,Master’s Degree,High,Low,High_Low
30924,9355,Healthcare,6,Female,55,Bachelor’s Degree,High,Low,High_Low
9392,4451,Education,6,Male,45,High School,High,Low,High_Low
23287,10135,Technology,1,Male,48,Bachelor’s Degree,High,Low,High_Low
68364,4431,Education,11,Female,41,Associate Degree,High,Low,High_Low
31457,3598,Education,2,Female,53,Associate Degree,High,Low,High_Low
31826,8340,Healthcare,9,Male,49,Bachelor’s Degree,High,Low,High_Low
24841,8860,Finance,9,Male,39,Bachelor’s Degree,High,Low,High_Low
9870,4042,Education,2,Female,49,Associate Degree,High,Low,High_Low
54577,6993,Healthcare,5,Male,40,High School,High,Low,High_Low
18068,4421,Finance,12,Male,51,Master’s Degree,High,Low,High_Low
65212,8762,Healthcare,6,Male,58,Bachelor’s Degree,High,Low,High_Low
36263,8744,Technology,7,Female,42,High School,High,Low,High_Low
32705,10298,Technology,6,Female,46,Bachelor’s Degree,High,Low,High_Low
71450,8972,Technology,2,Male,41,Master’s Degree,High,Low,High_Low
42659,4237,Education,9,Female,46,Bachelor’s Degree,High,Low,High_Low
47934,6437,Education,9,Male,45,Associate Degree,High,Low,High_Low
25774,8736,Healthcare,2,Male,54,Associate Degree,High,Low,High_Low
18495,6426,Media,4,Male,40,Bachelor’s Degree,High,Low,High_Low
13011,8723,Technology,1,Male,47,High School,High,Low,High_Low
41684,5820,Media,10,Male,42,High School,High,Low,High_Low
19528,5891,Media,3,Male,39,High School,High,Low,High_Low
4392,6954,Finance,6,Female,56,Bachelor’s Degree,High,Low,High_Low
1127,11421,Technology,6,Male,45,Bachelor’s Degree,High,Low,High_Low
37737,3755,Education,10,Male,51,High School,High,Low,High_Low
37320,6363,Media,2,Male,58,High School,High,Low,High_Low
3777,5475,Media,10,Female,45,High School,High,Low,High_Low
39770,12985,Finance,8,Male,55,Master’s Degree,High,Low,High_Low
23154,7741,Healthcare,6,Female,42,Master’s Degree,High,Low,High_Low
49333,8482,Healthcare,12,Female,40,Master’s Degree,High,Low,High_Low
33046,10512,Technology,11,Male,40,Associate Degree,High,Low,High_Low
37344,5788,Media,5,Male,55,Master’s Degree,High,Low,High_Low
53500,8151,Technology,4,Male,58,High School,High,Low,High_Low
34214,3553,Education,2,Male,55,Bachelor’s Degree,High,Low,High_Low
44909,3288,Education,1,Male,44,PhD,High,Low,High_Low
51355,5532,Technology,9,Male,58,Bachelor’s Degree,High,Low,High_Low
