EmployeeID,MonthlyIncome,JobRole,TotalWorkingYears,Gender,Age,Education Level,AgeGroup,ExpGroup,Cluster
64756,5534,Media,4,Female,59,Master’s Degree,High,Low,High_Low
17696,5176,Finance,4,Female,40,High School,High,Low,High_Low
58984,8079,Finance,1,Female,39,Master’s Degree,High,Low,High_Low
64075,6213,Media,2,Female,42,Bachelor’s Degree,High,Low,High_Low
30924,9355,Healthcare,6,Female,55,Bachelor’s Degree,High,Low,High_Low
68364,4431,Education,11,Female,41,Associate Degree,High,Low,High_Low
31457,3598,Education,2,Female,53,Associate Degree,High,Low,High_Low
9870,4042,Education,2,Female,49,Associate Degree,High,Low,High_Low
36263,8744,Technology,7,Female,42,High School,High,Low,High_Low
32705,10298,Technology,6,Female,46,Bachelor’s Degree,High,Low,High_Low
42659,4237,Education,9,Female,46,Bachelor’s Degree,High,Low,High_Low
4392,6954,Finance,6,Female,56,Bachelor’s Degree,High,Low,High_Low
3777,5475,Media,10,Female,45,High School,High,Low,High_Low
23154,7741,Healthcare,6,Female,42,Master’s Degree,High,Low,High_Low
49333,8482,Healthcare,12,Female,40,Master’s Degree,High,Low,High_Low
57726,3752,Education,8,Female,40,Associate Degree,High,Low,High_Low
31345,11515,Finance,4,Female,44,Associate Degree,High,Low,High_Low
44300,8766,Technology,4,Female,47,High School,High,Low,High_Low
65606,9452,Technology,6,Female,39,Master’s Degree,High,Low,High_Low
9283,10616,Healthcare,4,Female,56,High School,High,Low,High_Low
39731,8074,Technology,12,Female,43,High School,High,Low,High_Low
69193,5853,Technology,7,Female,40,Associate Degree,High,Low,High_Low
39167,8832,Technology,11,Female,51,Associate Degree,High,Low,High_Low
14724,5053,Media,9,Female,54,High School,High,Low,High_Low
777,10620,Technology,11,Female,51,Associate Degree,High,Low,High_Low
8107,5005,Education,10,Female,45,Associate Degree,High,Low,High_Low
32869,5614,Education,5,Female,56,Associate Degree,High,Low,High_Low
68125,8489,Finance,11,Female,40,Master’s Degree,High,Low,High_Low
38962,8445,Healthcare,1,Female,54,Associate Degree,High,Low,High_Low
68088,8541,Healthcare,7,Female,40,Bachelor’s Degree,High,Low,High_Low
41271,7043,Healthcare,7,Female,45,Master’s Degree,High,Low,High_Low
47024,5233,Education,1,Female,50,PhD,High,Low,High_Low
67148,10001,Healthcare,2,Female,41,Master’s Degree,High,Low,High_Low
42417,6453,Healthcare,11,Female,45,Bachelor’s Degree,High,Low,High_Low
53510,10588,Technology,9,Female,58,Master’s Degree,High,Low,High_Low
36596,9679,Finance,4,Female,55,Associate Degree,High,Low,High_Low
56339,4671,Education,11,Female,48,PhD,High,Low,High_Low
8604,8534,Finance,9,Female,39,High School,High,Low,High_Low
34221,7893,Healthcare,8,Female,44,High School,High,Low,High_Low
60379,4917,Education,3,Female,58,High School,High,Low,High_Low
1508,8975,Healthcare,11,Female,49,High School,High,Low,High_Low
4320,8247,Finance,8,Female,51,Bachelor’s Degree,High,Low,High_Low
68503,8366,Technology,2,Female,53,Associate Degree,High,Low,High_Low
68059,6567,Education,12,Female,40,Bachelor’s Degree,High,Low,High_Low
