EmployeeID,MonthlyIncome,JobRole,TotalWorkingYears,Gender,Age,Education Level,AgeGroup,ExpGroup,Cluster
8410,5390,Education,19,Male,31,Associate Degree,Low,High,Low_High
28098,8090,Healthcare,22,Male,31,Associate Degree,Low,High,Low_High
24208,5874,Media,13,Male,36,High School,Low,High,Low_High
13394,12507,Technology,13,Male,23,High School,Low,High,Low_High
12259,5105,Media,18,Male,31,Bachelor’s Degree,Low,High,Low_High
54804,5956,Media,17,Female,31,Bachelor’s Degree,Low,High,Low_High
67450,5967,Media,21,Male,34,Bachelor’s Degree,Low,High,Low_High
4098,9894,Technology,22,Female,30,Associate Degree,Low,High,Low_High
27742,6785,Technology,13,Male,24,Bachelor’s Degree,Low,High,Low_High
64242,6026,Finance,14,Male,27,Bachelor’s Degree,Low,High,Low_High
64500,10080,Finance,22,Male,37,Bachelor’s Degree,Low,High,Low_High
62882,5678,Media,17,Male,27,Bachelor’s Degree,Low,High,Low_High
3625,5246,Education,18,Male,38,Master’s Degree,Low,High,Low_High
26078,6135,Healthcare,19,Male,31,PhD,Low,High,Low_High
45545,7625,Healthcare,17,Male,35,Bachelor’s Degree,Low,High,Low_High
72401,9434,Technology,13,Male,31,Bachelor’s Degree,Low,High,Low_High
32413,3204,Education,15,Female,30,Bachelor’s Degree,Low,High,Low_High
57482,7576,Technology,26,Female,35,High School,Low,High,Low_High
41073,10513,Finance,20,Male,28,Bachelor’s Degree,Low,High,Low_High
26101,8309,Technology,17,Male,36,Associate Degree,Low,High,Low_High
34213,9152,Healthcare,13,Male,21,Bachelor’s Degree,Low,High,Low_High
68988,5797,Media,13,Female,22,PhD,Low,High,Low_High
51389,5733,Media,14,Male,38,Bachelor’s Degree,Low,High,Low_High
27698,5744,Media,22,Female,38,Associate Degree,Low,High,Low_High
1744,10903,Finance,25,Male,38,Associate Degree,Low,High,Low_High
12148,9380,Technology,19,Male,33,PhD,Low,High,Low_High
25555,8143,Technology,14,Female,31,Associate Degree,Low,High,Low_High
56992,4281,Education,20,Male,30,High School,Low,High,Low_High
11760,5629,Media,16,Male,33,Bachelor’s Degree,Low,High,Low_High
69113,4496,Media,14,Male,38,Bachelor’s Degree,Low,High,Low_High
36925,4738,Education,15,Female,29,Associate Degree,Low,High,Low_High
57096,6523,Media,17,Male,26,Master’s Degree,Low,High,Low_High
49173,8611,Healthcare,17,Female,25,Associate Degree,Low,High,Low_High
17365,6389,Media,13,Male,36,Bachelor’s Degree,Low,High,Low_High
26339,3951,Education,13,Female,32,PhD,Low,High,Low_High
62819,7909,Healthcare,19,Male,34,Bachelor’s Degree,Low,High,Low_High
37884,7265,Healthcare,20,Female,33,Bachelor’s Degree,Low,High,Low_High
68477,10661,Finance,18,Male,26,Bachelor’s Degree,Low,High,Low_High
7008,7153,Healthcare,25,Male,35,Bachelor’s Degree,Low,High,Low_High
63764,7714,Healthcare,22,Female,33,Bachelor’s Degree,Low,High,Low_High
71455,7104,Healthcare,21,Female,32,High School,Low,High,Low_High
21420,4328,Education,18,Female,34,Bachelor’s Degree,Low,High,Low_High
69899,3891,Education,14,Female,38,Bachelor’s Degree,Low,High,Low_High
24472,6029,Media,14,Male,27,Associate Degree,Low,High,Low_High
20371,10442,Technology,23,Female,36,High School,Low,High,Low_High
33010,6605,Finance,16,Female,26,Associate Degree,Low,High,Low_High
18057,6299,Education,14,Male,38,Bachelor’s Degree,Low,High,Low_High
20659,5329,Education,16,Female,32,Bachelor’s Degree,Low,High,Low_High
2778,6033,Media,16,Male,26,Bachelor’s Degree,Low,High,Low_High
63805,9321,Healthcare,13,Male,30,Associate Degree,Low,High,Low_High
29104,6841,Finance,15,Male,38,Associate Degree,Low,High,Low_High
9479,4285,Education,18,Female,33,Master’s Degree,Low,High,Low_High
43974,7343,Healthcare,19,Female,30,High School,Low,High,Low_High
43610,9173,Technology,19,Female,33,High School,Low,High,Low_High
58856,5773,Education,17,Male,28,Bachelor’s Degree,Low,High,Low_High
50747,7622,Finance,15,Female,31,Associate Degree,Low,High,Low_High
6702,8848,Technology,24,Female,32,High School,Low,High,Low_High
54325,9337,Technology,19,Male,32,Associate Degree,Low,High,Low_High
37902,10207,Technology,22,Male,32,Associate Degree,Low,High,Low_High
43721,9098,Finance,13,Male,28,PhD,Low,High,Low_High
46092,15495,Finance,14,Female,24,High School,Low,High,Low_High
5069,3620,Education,29,Male,37,Master’s Degree,Low,High,Low_High
40596,9017,Finance,13,Male,34,Bachelor’s Degree,Low,High,Low_High
27238,5964,Healthcare,20,Female,29,High School,Low,High,Low_High
7636,3739,Education,21,Female,33,Associate Degree,Low,High,Low_High
12430,5682,Education,16,Female,29,Associate Degree,Low,High,Low_High
18882,5900,Media,15,Female,29,Bachelor’s Degree,Low,High,Low_High
58615,6960,Healthcare,13,Male,32,Bachelor’s Degree,Low,High,Low_High
52121,5165,Technology,15,Male,25,High School,Low,High,Low_High
15293,10100,Technology,16,Male,34,PhD,Low,High,Low_High
7714,8056,Finance,14,Male,29,Master’s Degree,Low,High,Low_High
62389,11795,Finance,14,Male,25,Associate Degree,Low,High,Low_High
72564,5983,Media,19,Female,29,Master’s Degree,Low,High,Low_High
4776,5978,Media,14,Male,32,Bachelor’s Degree,Low,High,Low_High
56051,5620,Healthcare,17,Female,29,Associate Degree,Low,High,Low_High
12049,7608,Finance,16,Male,36,Master’s Degree,Low,High,Low_High
27018,8121,Technology,22,Male,35,High School,Low,High,Low_High
73787,10295,Technology,25,Female,35,Associate Degree,Low,High,Low_High
58268,6733,Healthcare,13,Male,25,Master’s Degree,Low,High,Low_High
53410,8877,Healthcare,30,Male,38,Associate Degree,Low,High,Low_High
69226,10095,Technology,17,Female,34,Associate Degree,Low,High,Low_High
463,5740,Media,16,Female,27,Bachelor’s Degree,Low,High,Low_High
33648,6255,Finance,14,Female,23,Master’s Degree,Low,High,Low_High
26358,5037,Finance,19,Male,31,Associate Degree,Low,High,Low_High
45867,9200,Healthcare,14,Female,26,PhD,Low,High,Low_High
20822,8131,Healthcare,15,Female,36,Bachelor’s Degree,Low,High,Low_High
17750,6768,Healthcare,20,Male,32,High School,Low,High,Low_High
63059,4965,Education,14,Female,30,Bachelor’s Degree,Low,High,Low_High
56432,7515,Healthcare,14,Male,23,High School,Low,High,Low_High
6242,9197,Finance,18,Female,27,High School,Low,High,Low_High
61596,7643,Healthcare,19,Male,27,Master’s Degree,Low,High,Low_High
35084,3833,Education,13,Female,25,Bachelor’s Degree,Low,High,Low_High
58681,10660,Technology,19,Male,34,High School,Low,High,Low_High
61973,4414,Education,27,Female,37,Associate Degree,Low,High,Low_High
10190,5572,Media,16,Female,34,Master’s Degree,Low,High,Low_High
3452,3344,Education,14,Male,26,Bachelor’s Degree,Low,High,Low_High
