EmployeeID,MonthlyIncome,JobRole,TotalWorkingYears,Gender,Age,Education Level,AgeGroup,ExpGroup,Cluster
54804,5956,Media,17,Female,31,Bachelor’s Degree,Low,High,Low_High
4098,9894,Technology,22,Female,30,Associate Degree,Low,High,Low_High
32413,3204,Education,15,Female,30,Bachelor’s Degree,Low,High,Low_High
57482,7576,Technology,26,Female,35,High School,Low,High,Low_High
68988,5797,Media,13,Female,22,PhD,Low,High,Low_High
27698,5744,Media,22,Female,38,Associate Degree,Low,High,Low_High
25555,8143,Technology,14,Female,31,Associate Degree,Low,High,Low_High
36925,4738,Education,15,Female,29,Associate Degree,Low,High,Low_High
49173,8611,Healthcare,17,Female,25,Associate Degree,Low,High,Low_High
26339,3951,Education,13,Female,32,PhD,Low,High,Low_High
37884,7265,Healthcare,20,Female,33,Bachelor’s Degree,Low,High,Low_High
63764,7714,Healthcare,22,Female,33,Bachelor’s Degree,Low,High,Low_High
71455,7104,Healthcare,21,Female,32,High School,Low,High,Low_High
21420,4328,Education,18,Female,34,Bachelor’s Degree,Low,High,Low_High
69899,3891,Education,14,Female,38,Bachelor’s Degree,Low,High,Low_High
20371,10442,Technology,23,Female,36,High School,Low,High,Low_High
33010,6605,Finance,16,Female,26,Associate Degree,Low,High,Low_High
20659,5329,Education,16,Female,32,Bachelor’s Degree,Low,High,Low_High
9479,4285,Education,18,Female,33,Master’s Degree,Low,High,Low_High
43974,7343,Healthcare,19,Female,30,High School,Low,High,Low_High
43610,9173,Technology,19,Female,33,High School,Low,High,Low_High
50747,7622,Finance,15,Female,31,Associate Degree,Low,High,Low_High
6702,8848,Technology,24,Female,32,High School,Low,High,Low_High
46092,15495,Finance,14,Female,24,High School,Low,High,Low_High
27238,5964,Healthcare,20,Female,29,High School,Low,High,Low_High
7636,3739,Education,21,Female,33,Associate Degree,Low,High,Low_High
12430,5682,Education,16,Female,29,Associate Degree,Low,High,Low_High
18882,5900,Media,15,Female,29,Bachelor’s Degree,Low,High,Low_High
72564,5983,Media,19,Female,29,Master’s Degree,Low,High,Low_High
56051,5620,Healthcare,17,Female,29,Associate Degree,Low,High,Low_High
73787,10295,Technology,25,Female,35,Associate Degree,Low,High,Low_High
69226,10095,Technology,17,Female,34,Associate Degree,Low,High,Low_High
463,5740,Media,16,Female,27,Bachelor’s Degree,Low,High,Low_High
33648,6255,Finance,14,Female,23,Master’s Degree,Low,High,Low_High
45867,9200,Healthcare,14,Female,26,PhD,Low,High,Low_High
20822,8131,Healthcare,15,Female,36,Bachelor’s Degree,Low,High,Low_High
63059,4965,Education,14,Female,30,Bachelor’s Degree,Low,High,Low_High
6242,9197,Finance,18,Female,27,High School,Low,High,Low_High
35084,3833,Education,13,Female,25,Bachelor’s Degree,Low,High,Low_High
61973,4414,Education,27,Female,37,Associate Degree,Low,High,Low_High
10190,5572,Media,16,Female,34,Master’s Degree,Low,High,Low_High
58170,8414,Technology,21,Female,31,Master’s Degree,Low,High,Low_High
47037,3945,Education,17,Female,31,Associate Degree,Low,High,Low_High
67227,11742,Technology,14,Female,31,PhD,Low,High,Low_High
34697,8781,Technology,17,Female,28,High School,Low,High,Low_High
42630,4770,Education,14,Female,33,Associate Degree,Low,High,Low_High
70086,2652,Education,15,Female,25,Bachelor’s Degree,Low,High,Low_High
23679,1855,Finance,19,Female,33,PhD,Low,High,Low_High
52573,7555,Finance,13,Female,26,High School,Low,High,Low_High
46057,2982,Education,16,Female,31,Bachelor’s Degree,Low,High,Low_High
38407,5357,Education,21,Female,36,Associate Degree,Low,High,Low_High
39605,6094,Media,16,Female,31,Associate Degree,Low,High,Low_High
32322,8105,Healthcare,19,Female,35,Bachelor’s Degree,Low,High,Low_High
11246,9251,Technology,22,Female,36,Bachelor’s Degree,Low,High,Low_High
2616,12869,Technology,23,Female,38,Bachelor’s Degree,Low,High,Low_High
15519,6393,Healthcare,14,Female,27,Associate Degree,Low,High,Low_High
26817,6099,Media,20,Female,35,Bachelor’s Degree,Low,High,Low_High
16526,5501,Media,13,Female,37,Associate Degree,Low,High,Low_High
12702,7914,Healthcare,15,Female,24,Associate Degree,Low,High,Low_High
645,7756,Healthcare,15,Female,23,PhD,Low,High,Low_High
19544,4099,Education,24,Female,38,Master’s Degree,Low,High,Low_High
25923,11652,Finance,13,Female,28,Bachelor’s Degree,Low,High,Low_High
38785,8477,Finance,15,Female,29,Master’s Degree,Low,High,Low_High
60308,6578,Media,22,Female,31,Master’s Degree,Low,High,Low_High
846,5204,Education,13,Female,23,Bachelor’s Degree,Low,High,Low_High
55802,7000,Finance,13,Female,30,Bachelor’s Degree,Low,High,Low_High
13253,7293,Healthcare,14,Female,33,Bachelor’s Degree,Low,High,Low_High
66829,7794,Technology,30,Female,38,High School,Low,High,Low_High
14129,5939,Media,13,Female,38,High School,Low,High,Low_High
59618,9548,Healthcare,15,Female,23,Associate Degree,Low,High,Low_High
120,5936,Media,13,Female,22,Bachelor’s Degree,Low,High,Low_High
62977,10938,Technology,21,Female,29,High School,Low,High,Low_High
17548,4671,Education,20,Female,34,High School,Low,High,Low_High
63406,8447,Healthcare,20,Female,32,Master’s Degree,Low,High,Low_High
38783,4430,Education,26,Female,37,Bachelor’s Degree,Low,High,Low_High
9614,6185,Healthcare,18,Female,27,Bachelor’s Degree,Low,High,Low_High
25307,6076,Media,24,Female,37,Associate Degree,Low,High,Low_High
7380,6643,Media,26,Female,37,Master’s Degree,Low,High,Low_High
2899,7958,Technology,16,Female,26,Bachelor’s Degree,Low,High,Low_High
41400,9091,Technology,13,Female,28,High School,Low,High,Low_High
16915,6594,Media,16,Female,26,Master’s Degree,Low,High,Low_High
57410,7563,Healthcare,19,Female,30,Bachelor’s Degree,Low,High,Low_High
16395,5820,Education,14,Female,29,Bachelor’s Degree,Low,High,Low_High
8874,5769,Media,26,Female,35,Bachelor’s Degree,Low,High,Low_High
31894,3834,Education,13,Female,23,Bachelor’s Degree,Low,High,Low_High
19833,4648,Education,13,Female,28,High School,Low,High,Low_High
40238,6943,Technology,13,Female,26,Associate Degree,Low,High,Low_High
68501,10613,Technology,20,Female,28,Associate Degree,Low,High,Low_High
63665,8929,Technology,16,Female,29,Bachelor’s Degree,Low,High,Low_High
72838,5592,Media,14,Female,32,Master’s Degree,Low,High,Low_High
6234,8077,Healthcare,20,Female,38,Associate Degree,Low,High,Low_High
57439,5383,Education,19,Female,27,PhD,Low,High,Low_High
60047,9142,Technology,14,Female,30,Associate Degree,Low,High,Low_High
739,3052,Education,15,Female,37,Associate Degree,Low,High,Low_High
