EmployeeID,MonthlyIncome,JobRole,TotalWorkingYears,Gender,Age,Education Level,AgeGroup,ExpGroup,Cluster
8410,5390,Education,19,Male,31,Associate Degree,Low,High,Low_High
28098,8090,Healthcare,22,Male,31,Associate Degree,Low,High,Low_High
24208,5874,Media,13,Male,36,High School,Low,High,Low_High
13394,12507,Technology,13,Male,23,High School,Low,High,Low_High
12259,5105,Media,18,Male,31,Bachelor’s Degree,Low,High,Low_High
67450,5967,Media,21,Male,34,Bachelor’s Degree,Low,High,Low_High
27742,6785,Technology,13,Male,24,Bachelor’s Degree,Low,High,Low_High
64242,6026,Finance,14,Male,27,Bachelor’s Degree,Low,High,Low_High
64500,10080,Finance,22,Male,37,Bachelor’s Degree,Low,High,Low_High
62882,5678,Media,17,Male,27,Bachelor’s Degree,Low,High,Low_High
3625,5246,Education,18,Male,38,Master’s Degree,Low,High,Low_High
26078,6135,Healthcare,19,Male,31,PhD,Low,High,Low_High
45545,7625,Healthcare,17,Male,35,Bachelor’s Degree,Low,High,Low_High
72401,9434,Technology,13,Male,31,Bachelor’s Degree,Low,High,Low_High
41073,10513,Finance,20,Male,28,Bachelor’s Degree,Low,High,Low_High
26101,8309,Technology,17,Male,36,Associate Degree,Low,High,Low_High
34213,9152,Healthcare,13,Male,21,Bachelor’s Degree,Low,High,Low_High
51389,5733,Media,14,Male,38,Bachelor’s Degree,Low,High,Low_High
1744,10903,Finance,25,Male,38,Associate Degree,Low,High,Low_High
12148,9380,Technology,19,Male,33,PhD,Low,High,Low_High
56992,4281,Education,20,Male,30,High School,Low,High,Low_High
11760,5629,Media,16,Male,33,Bachelor’s Degree,Low,High,Low_High
69113,4496,Media,14,Male,38,Bachelor’s Degree,Low,High,Low_High
57096,6523,Media,17,Male,26,Master’s Degree,Low,High,Low_High
17365,6389,Media,13,Male,36,Bachelor’s Degree,Low,High,Low_High
62819,7909,Healthcare,19,Male,34,Bachelor’s Degree,Low,High,Low_High
68477,10661,Finance,18,Male,26,Bachelor’s Degree,Low,High,Low_High
7008,7153,Healthcare,25,Male,35,Bachelor’s Degree,Low,High,Low_High
24472,6029,Media,14,Male,27,Associate Degree,Low,High,Low_High
18057,6299,Education,14,Male,38,Bachelor’s Degree,Low,High,Low_High
2778,6033,Media,16,Male,26,Bachelor’s Degree,Low,High,Low_High
63805,9321,Healthcare,13,Male,30,Associate Degree,Low,High,Low_High
29104,6841,Finance,15,Male,38,Associate Degree,Low,High,Low_High
58856,5773,Education,17,Male,28,Bachelor’s Degree,Low,High,Low_High
54325,9337,Technology,19,Male,32,Associate Degree,Low,High,Low_High
37902,10207,Technology,22,Male,32,Associate Degree,Low,High,Low_High
43721,9098,Finance,13,Male,28,PhD,Low,High,Low_High
5069,3620,Education,29,Male,37,Master’s Degree,Low,High,Low_High
40596,9017,Finance,13,Male,34,Bachelor’s Degree,Low,High,Low_High
58615,6960,Healthcare,13,Male,32,Bachelor’s Degree,Low,High,Low_High
52121,5165,Technology,15,Male,25,High School,Low,High,Low_High
15293,10100,Technology,16,Male,34,PhD,Low,High,Low_High
7714,8056,Finance,14,Male,29,Master’s Degree,Low,High,Low_High
62389,11795,Finance,14,Male,25,Associate Degree,Low,High,Low_High
4776,5978,Media,14,Male,32,Bachelor’s Degree,Low,High,Low_High
12049,7608,Finance,16,Male,36,Master’s Degree,Low,High,Low_High
27018,8121,Technology,22,Male,35,High School,Low,High,Low_High
58268,6733,Healthcare,13,Male,25,Master’s Degree,Low,High,Low_High
53410,8877,Healthcare,30,Male,38,Associate Degree,Low,High,Low_High
26358,5037,Finance,19,Male,31,Associate Degree,Low,High,Low_High
17750,6768,Healthcare,20,Male,32,High School,Low,High,Low_High
56432,7515,Healthcare,14,Male,23,High School,Low,High,Low_High
61596,7643,Healthcare,19,Male,27,Master’s Degree,Low,High,Low_High
58681,10660,Technology,19,Male,34,High School,Low,High,Low_High
3452,3344,Education,14,Male,26,Bachelor’s Degree,Low,High,Low_High
2936,3789,Education,29,Male,38,Associate Degree,Low,High,Low_High
29174,4755,Education,19,Male,34,High School,Low,High,Low_High
64562,6623,Healthcare,17,Male,26,High School,Low,High,Low_High
59492,9449,Finance,24,Male,36,High School,Low,High,Low_High
19691,4353,Education,19,Male,36,Associate Degree,Low,High,Low_High
41068,5957,Media,13,Male,24,Master’s Degree,Low,High,Low_High
2374,4210,Education,21,Male,32,Associate Degree,Low,High,Low_High
7845,5284,Education,17,Male,25,Master’s Degree,Low,High,Low_High
14492,7988,Finance,25,Male,34,High School,Low,High,Low_High
60199,8996,Healthcare,17,Male,33,Associate Degree,Low,High,Low_High
40530,7134,Finance,21,Male,37,Bachelor’s Degree,Low,High,Low_High
30837,8224,Finance,21,Male,37,High School,Low,High,Low_High
33157,9086,Healthcare,16,Male,29,High School,Low,High,Low_High
70366,7074,Healthcare,16,Male,31,Bachelor’s Degree,Low,High,Low_High
64805,6322,Media,13,Male,22,Master’s Degree,Low,High,Low_High
72969,9374,Technology,14,Male,29,Bachelor’s Degree,Low,High,Low_High
37193,7460,Technology,21,Male,36,Master’s Degree,Low,High,Low_High
72642,5613,Education,15,Male,23,PhD,Low,High,Low_High
53305,8892,Finance,14,Male,38,Bachelor’s Degree,Low,High,Low_High
24640,8403,Healthcare,15,Male,31,Master’s Degree,Low,High,Low_High
59351,3494,Education,19,Male,37,Associate Degree,Low,High,Low_High
73349,5046,Education,20,Male,29,Bachelor’s Degree,Low,High,Low_High
18130,9482,Finance,26,Male,38,High School,Low,High,Low_High
19215,8855,Technology,19,Male,31,Associate Degree,Low,High,Low_High
57183,3992,Education,21,Male,36,High School,Low,High,Low_High
65441,9867,Technology,17,Male,28,Associate Degree,Low,High,Low_High
183,9210,Healthcare,14,Male,34,Master’s Degree,Low,High,Low_High
29199,6220,Media,13,Male,33,Bachelor’s Degree,Low,High,Low_High
53345,9042,Technology,16,Male,35,Master’s Degree,Low,High,Low_High
25130,7156,Media,16,Male,30,Bachelor’s Degree,Low,High,Low_High
32221,12334,Technology,15,Male,35,Master’s Degree,Low,High,Low_High
38196,4460,Education,14,Male,28,Bachelor’s Degree,Low,High,Low_High
1558,5672,Education,15,Male,32,High School,Low,High,Low_High
34001,8022,Healthcare,24,Male,38,Bachelor’s Degree,Low,High,Low_High
71901,8105,Technology,20,Male,34,Master’s Degree,Low,High,Low_High
31443,9260,Technology,15,Male,37,Associate Degree,Low,High,Low_High
30229,4131,Education,20,Male,33,Associate Degree,Low,High,Low_High
49706,7360,Technology,27,Male,38,High School,Low,High,Low_High
53954,3760,Education,16,Male,33,Bachelor’s Degree,Low,High,Low_High
10762,6592,Education,18,Male,33,Bachelor’s Degree,Low,High,Low_High
68398,5452,Education,17,Male,35,Bachelor’s Degree,Low,High,Low_High
