EmployeeID,MonthlyIncome,JobRole,TotalWorkingYears,Gender,Age,Education Level,AgeGroup,ExpGroup,Cluster
30257,8159,Healthcare,10,Female,24,Bachelor’s Degree,Low,Low,Low_Low
65791,3989,Education,7,Female,36,High School,Low,Low,Low_Low
24368,9977,Technology,3,Female,38,Bachelor’s Degree,Low,Low,Low_Low
15944,7319,Healthcare,1,Female,24,PhD,Low,Low,Low_Low
29972,5443,Education,12,Female,30,High School,Low,Low,Low_Low
9063,8950,Healthcare,6,Female,29,Master’s Degree,Low,Low,Low_Low
55668,8242,Technology,9,Female,19,High School,Low,Low,Low_Low
19288,8733,Finance,1,Female,33,High School,Low,Low,Low_Low
9697,7538,Healthcare,9,Male,29,Bachelor’s Degree,Low,Low,Low_Low
69149,6334,Healthcare,11,Male,24,Bachelor’s Degree,Low,Low,Low_Low
15737,9293,Technology,2,Male,37,Bachelor’s Degree,Low,Low,Low_Low
51448,7701,Finance,6,Male,37,High School,Low,Low,Low_Low
8881,8632,Healthcare,9,Male,37,Master’s Degree,Low,Low,Low_Low
72189,8274,Finance,12,Male,34,Bachelor’s Degree,Low,Low,Low_Low
26304,6690,Healthcare,2,Female,25,Associate Degree,Low,Low,Low_Low
33177,8397,Healthcare,3,Female,25,Bachelor’s Degree,Low,Low,Low_Low
70003,9775,Technology,8,Male,36,Bachelor’s Degree,Low,Low,Low_Low
33430,6356,Media,11,Male,21,Associate Degree,Low,Low,Low_Low
66579,10111,Technology,12,Female,28,High School,Low,Low,Low_Low
54104,8673,Finance,3,Male,26,Associate Degree,Low,Low,Low_Low
1591,7368,Finance,2,Female,23,Master’s Degree,Low,Low,Low_Low
18598,10122,Technology,11,Female,31,Bachelor’s Degree,Low,Low,Low_Low
65665,7946,Finance,8,Male,29,Associate Degree,Low,Low,Low_Low
14169,7949,Healthcare,2,Female,37,High School,Low,Low,Low_Low
43193,7967,Healthcare,10,Female,21,Master’s Degree,Low,Low,Low_Low
66157,10141,Finance,1,Female,19,Bachelor’s Degree,Low,Low,Low_Low
60485,5397,Media,10,Male,30,Bachelor’s Degree,Low,Low,Low_Low
72101,6640,Technology,2,Female,31,Associate Degree,Low,Low,Low_Low
46992,7287,Technology,8,Male,31,Master’s Degree,Low,Low,Low_Low
