EmployeeID,MonthlyIncome,JobRole,TotalWorkingYears,Gender,Age,Education Level,AgeGroup,ExpGroup,Cluster
30257,8159,Healthcare,10,Female,24,Bachelor’s Degree,Low,Low,Low_Low
65791,3989,Education,7,Female,36,High School,Low,Low,Low_Low
24368,9977,Technology,3,Female,38,Bachelor’s Degree,Low,Low,Low_Low
15944,7319,Healthcare,1,Female,24,PhD,Low,Low,Low_Low
29972,5443,Education,12,Female,30,High School,Low,Low,Low_Low
9063,8950,Healthcare,6,Female,29,Master’s Degree,Low,Low,Low_Low
55668,8242,Technology,9,Female,19,High School,Low,Low,Low_Low
19288,8733,Finance,1,Female,33,High School,Low,Low,Low_Low
26304,6690,Healthcare,2,Female,25,Associate Degree,Low,Low,Low_Low
33177,8397,Healthcare,3,Female,25,Bachelor’s Degree,Low,Low,Low_Low
66579,10111,Technology,12,Female,28,High School,Low,Low,Low_Low
1591,7368,Finance,2,Female,23,Master’s Degree,Low,Low,Low_Low
18598,10122,Technology,11,Female,31,Bachelor’s Degree,Low,Low,Low_Low
14169,7949,Healthcare,2,Female,37,High School,Low,Low,Low_Low
43193,7967,Healthcare,10,Female,21,Master’s Degree,Low,Low,Low_Low
66157,10141,Finance,1,Female,19,Bachelor’s Degree,Low,Low,Low_Low
72101,6640,Technology,2,Female,31,Associate Degree,Low,Low,Low_Low
41178,6534,Finance,1,Female,33,Master’s Degree,Low,Low,Low_Low
19252,9197,Technology,11,Female,27,High School,Low,Low,Low_Low
20242,6099,Media,7,Female,37,Bachelor’s Degree,Low,Low,Low_Low
8021,7859,Healthcare,8,Female,26,High School,Low,Low,Low_Low
71343,9306,Finance,11,Female,29,Master’s Degree,Low,Low,Low_Low
23689,10943,Technology,3,Female,20,Associate Degree,Low,Low,Low_Low
1115,8546,Technology,7,Female,18,High School,Low,Low,Low_Low
69121,8376,Finance,9,Female,22,High School,Low,Low,Low_Low
62193,6160,Media,7,Female,38,Bachelor’s Degree,Low,Low,Low_Low
21668,9249,Finance,12,Female,27,Bachelor’s Degree,Low,Low,Low_Low
40055,9016,Finance,6,Female,19,Master’s Degree,Low,Low,Low_Low
44027,5196,Media,2,Female,27,Bachelor’s Degree,Low,Low,Low_Low
44324,8184,Healthcare,2,Female,22,Bachelor’s Degree,Low,Low,Low_Low
