EmployeeID,MonthlyIncome,JobRole,TotalWorkingYears,Gender,Age,Education Level,AgeGroup,ExpGroup,Cluster
9697,7538,Healthcare,9,Male,29,Bachelor’s Degree,Low,Low,Low_Low
69149,6334,Healthcare,11,Male,24,Bachelor’s Degree,Low,Low,Low_Low
15737,9293,Technology,2,Male,37,Bachelor’s Degree,Low,Low,Low_Low
51448,7701,Finance,6,Male,37,High School,Low,Low,Low_Low
8881,8632,Healthcare,9,Male,37,Master’s Degree,Low,Low,Low_Low
72189,8274,Finance,12,Male,34,Bachelor’s Degree,Low,Low,Low_Low
70003,9775,Technology,8,Male,36,Bachelor’s Degree,Low,Low,Low_Low
33430,6356,Media,11,Male,21,Associate Degree,Low,Low,Low_Low
54104,8673,Finance,3,Male,26,Associate Degree,Low,Low,Low_Low
65665,7946,Finance,8,Male,29,Associate Degree,Low,Low,Low_Low
60485,5397,Media,10,Male,30,Bachelor’s Degree,Low,Low,Low_Low
46992,7287,Technology,8,Male,31,Master’s Degree,Low,Low,Low_Low
23691,7406,Healthcare,3,Male,26,Associate Degree,Low,Low,Low_Low
63893,7038,Technology,11,Male,23,Associate Degree,Low,Low,Low_Low
28368,10298,Technology,4,Male,21,High School,Low,Low,Low_Low
49959,4573,Education,2,Male,24,Bachelor’s Degree,Low,Low,Low_Low
11385,7979,Healthcare,3,Male,19,High School,Low,Low,Low_Low
40919,10167,Healthcare,2,Male,21,Associate Degree,Low,Low,Low_Low
55188,6453,Media,2,Male,20,Associate Degree,Low,Low,Low_Low
24229,6669,Healthcare,6,Male,28,PhD,Low,Low,Low_Low
51580,6925,Finance,2,Male,22,Associate Degree,Low,Low,Low_Low
70584,7631,Technology,6,Male,18,Master’s Degree,Low,Low,Low_Low
18487,6185,Media,3,Male,28,Associate Degree,Low,Low,Low_Low
19879,5652,Education,8,Male,24,High School,Low,Low,Low_Low
63588,7376,Finance,5,Male,26,Bachelor’s Degree,Low,Low,Low_Low
59154,8161,Healthcare,9,Male,20,Bachelor’s Degree,Low,Low,Low_Low
50742,6336,Media,9,Male,29,Bachelor’s Degree,Low,Low,Low_Low
46731,9892,Technology,4,Male,28,Associate Degree,Low,Low,Low_Low
5437,10220,Technology,6,Male,34,Associate Degree,Low,Low,Low_Low
38452,2386,Education,12,Male,33,Bachelor’s Degree,Low,Low,Low_Low
62811,4410,Education,11,Male,19,Bachelor’s Degree,Low,Low,Low_Low
32586,9117,Healthcare,5,Male,22,Bachelor’s Degree,Low,Low,Low_Low
48664,8571,Technology,6,Male,28,Associate Degree,Low,Low,Low_Low
67005,8268,Healthcare,5,Male,26,Master’s Degree,Low,Low,Low_Low
10728,9279,Finance,9,Male,27,High School,Low,Low,Low_Low
10766,8721,Finance,10,Male,34,Associate Degree,Low,Low,Low_Low
71666,8482,Healthcare,5,Male,19,High School,Low,Low,Low_Low
14039,5842,Media,10,Male,18,Associate Degree,Low,Low,Low_Low
45072,5784,Media,10,Male,20,Bachelor’s Degree,Low,Low,Low_Low
28119,11806,Finance,12,Male,37,Associate Degree,Low,Low,Low_Low
21395,6113,Media,8,Male,19,PhD,Low,Low,Low_Low
46811,6279,Technology,7,Male,30,Associate Degree,Low,Low,Low_Low
14566,5329,Media,12,Male,27,Master’s Degree,Low,Low,Low_Low
4886,7628,Finance,11,Male,20,Bachelor’s Degree,Low,Low,Low_Low
26495,8486,Technology,9,Male,24,High School,Low,Low,Low_Low
21565,8756,Healthcare,1,Male,22,Bachelor’s Degree,Low,Low,Low_Low
4017,8081,Healthcare,2,Male,23,Associate Degree,Low,Low,Low_Low
17833,6932,Finance,7,Male,29,High School,Low,Low,Low_Low
3232,7655,Finance,7,Male,28,Associate Degree,Low,Low,Low_Low
30097,4098,Education,2,Male,38,High School,Low,Low,Low_Low
62366,11093,Finance,2,Male,34,Associate Degree,Low,Low,Low_Low
34887,8060,Technology,7,Male,19,Bachelor’s Degree,Low,Low,Low_Low
1619,7512,Technology,8,Male,37,Bachelor’s Degree,Low,Low,Low_Low
53038,8548,Healthcare,3,Male,18,Bachelor’s Degree,Low,Low,Low_Low
65550,8351,Finance,10,Male,31,Bachelor’s Degree,Low,Low,Low_Low
59722,7419,Healthcare,4,Male,29,Associate Degree,Low,Low,Low_Low
63606,11368,Technology,12,Male,29,Master’s Degree,Low,Low,Low_Low
9831,9090,Healthcare,3,Male,21,Bachelor’s Degree,Low,Low,Low_Low
70466,7973,Healthcare,8,Male,38,Master’s Degree,Low,Low,Low_Low
58005,7677,Healthcare,8,Male,24,High School,Low,Low,Low_Low
74270,7278,Healthcare,7,Male,20,Master’s Degree,Low,Low,Low_Low
34958,9518,Healthcare,11,Male,34,Bachelor’s Degree,Low,Low,Low_Low
71167,6062,Media,1,Male,24,Master’s Degree,Low,Low,Low_Low
41136,10346,Technology,4,Male,19,High School,Low,Low,Low_Low
713,9210,Technology,9,Male,19,Associate Degree,Low,Low,Low_Low
47635,8882,Technology,3,Male,25,Bachelor’s Degree,Low,Low,Low_Low
2938,9398,Technology,10,Male,22,Master’s Degree,Low,Low,Low_Low
29773,10114,Technology,7,Male,33,PhD,Low,Low,Low_Low
41695,6093,Media,2,Male,22,Master’s Degree,Low,Low,Low_Low
18356,5217,Education,9,Male,28,Bachelor’s Degree,Low,Low,Low_Low
7578,8822,Technology,7,Male,22,Associate Degree,Low,Low,Low_Low
47189,9820,Healthcare,8,Male,30,High School,Low,Low,Low_Low
56688,4249,Media,3,Male,26,Bachelor’s Degree,Low,Low,Low_Low
61025,5754,Media,7,Male,22,High School,Low,Low,Low_Low
50440,8722,Healthcare,3,Male,21,Associate Degree,Low,Low,Low_Low
46946,3797,Education,6,Male,31,Associate Degree,Low,Low,Low_Low
22360,4933,Media,7,Male,22,Bachelor’s Degree,Low,Low,Low_Low
8218,4432,Education,2,Male,26,Bachelor’s Degree,Low,Low,Low_Low
69926,7054,Technology,8,Male,25,Associate Degree,Low,Low,Low_Low
41481,9258,Healthcare,12,Male,36,Bachelor’s Degree,Low,Low,Low_Low
24172,8564,Healthcare,2,Male,18,Bachelor’s Degree,Low,Low,Low_Low
28980,6479,Healthcare,6,Male,19,Bachelor’s Degree,Low,Low,Low_Low
8672,7529,Technology,3,Male,26,Master’s Degree,Low,Low,Low_Low
17650,9166,Finance,12,Male,23,Bachelor’s Degree,Low,Low,Low_Low
58046,4410,Education,9,Male,21,Associate Degree,Low,Low,Low_Low
6384,5197,Education,4,Male,21,Associate Degree,Low,Low,Low_Low
39668,8032,Technology,10,Male,20,Master’s Degree,Low,Low,Low_Low
36281,4110,Education,6,Male,28,Master’s Degree,Low,Low,Low_Low
34265,5605,Education,9,Male,27,Bachelor’s Degree,Low,Low,Low_Low
30913,8701,Technology,3,Male,33,High School,Low,Low,Low_Low
14085,9332,Technology,8,Male,34,PhD,Low,Low,Low_Low
54458,7486,Technology,9,Male,35,High School,Low,Low,Low_Low
47515,8743,Healthcare,2,Male,23,High School,Low,Low,Low_Low
3378,9501,Healthcare,11,Male,37,High School,Low,Low,Low_Low
57454,8609,Technology,10,Male,25,Associate Degree,Low,Low,Low_Low
70872,4600,Finance,8,Male,30,High School,Low,Low,Low_Low
1979,7379,Technology,3,Male,36,Associate Degree,Low,Low,Low_Low
63016,10046,Technology,12,Male,23,High School,Low,Low,Low_Low
66741,4463,Education,8,Male,23,Master’s Degree,Low,Low,Low_Low
7267,8030,Healthcare,11,Male,19,Bachelor’s Degree,Low,Low,Low_Low
59068,9744,Technology,1,Male,22,Master’s Degree,Low,Low,Low_Low
58999,5833,Healthcare,10,Male,18,Bachelor’s Degree,Low,Low,Low_Low
44230,8693,Technology,4,Male,18,Bachelor’s Degree,Low,Low,Low_Low
32797,7177,Technology,4,Male,33,Bachelor’s Degree,Low,Low,Low_Low
33941,7107,Finance,8,Male,26,Bachelor’s Degree,Low,Low,Low_Low
73259,7730,Healthcare,6,Male,21,PhD,Low,Low,Low_Low
28504,8184,Healthcare,10,Male,20,High School,Low,Low,Low_Low
46383,9129,Finance,5,Male,23,High School,Low,Low,Low_Low
9937,8456,Healthcare,11,Male,38,Bachelor’s Degree,Low,Low,Low_Low
18401,3162,Education,2,Male,25,Associate Degree,Low,Low,Low_Low
17961,12696,Finance,2,Male,18,Bachelor’s Degree,Low,Low,Low_Low
58030,8543,Healthcare,5,Male,35,Associate Degree,Low,Low,Low_Low
67482,9638,Technology,8,Male,20,Bachelor’s Degree,Low,Low,Low_Low
71086,11552,Finance,7,Male,19,Associate Degree,Low,Low,Low_Low
5875,8228,Technology,12,Male,33,Master’s Degree,Low,Low,Low_Low
